Dia;Device ID;Reservatório;Condomínio;Leituras;Nível mín (%);Nível médio (%);Nível máx (%);Leituras c/ bomba ligada
2026-07-19T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;56;63;67;21
2026-07-19T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;42;55;64;29
2026-07-19T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;46;50;67;95
2026-07-18T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;46;59;77;25
2026-07-18T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;63;72;86;23
2026-07-18T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;28;48;53;63;8
2026-07-18T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;49;65;73;24
2026-07-18T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;0;16;22;56
2026-07-18T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;57;71;86;21
2026-07-18T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;30;44;49;29
2026-07-18T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;38;52;59;91
2026-07-17T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;51;59;70;25
2026-07-17T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;55;65;76;23
2026-07-17T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;30;42;54;27
2026-07-17T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;63;70;79;24
2026-07-17T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;16;21;35;56
2026-07-17T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;37;53;65;21
2026-07-17T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;43;58;64;29
2026-07-17T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;35;52;64;93
2026-07-16T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;54;61;68;25
2026-07-16T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;37;59;64;69;9
2026-07-16T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;43;49;55;27
2026-07-16T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;65;69;80;24
2026-07-16T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;12;19;36;56
2026-07-16T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;52;63;71;21
2026-07-16T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;47;59;70;29
2026-07-16T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;48;57;75;87
2026-07-15T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;32;48;60;71;8
2026-07-15T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;60;64;72;23
2026-07-15T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;34;49;59;27
2026-07-15T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;51;61;70;24
2026-07-15T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;10;20;25;55
2026-07-15T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;50;66;82;21
2026-07-15T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;37;51;58;29
2026-07-15T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;49;56;60;91
2026-07-14T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;35;48;66;74;9
2026-07-14T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;43;57;67;23
2026-07-14T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;46;54;62;27
2026-07-14T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;58;65;81;24
2026-07-14T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;6;21;27;55
2026-07-14T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;57;67;71;21
2026-07-14T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;42;55;69;29
2026-07-14T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;42;57;73;92
2026-07-13T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;53;65;76;25
2026-07-13T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;42;57;65;23
2026-07-13T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;44;50;66;27
2026-07-13T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;50;68;79;24
2026-07-13T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;8;24;31;55
2026-07-13T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;58;62;68;21
2026-07-13T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;34;50;63;29
2026-07-13T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;40;51;65;86
2026-07-12T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;45;60;69;25
2026-07-12T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;20;38;52;57;5
2026-07-12T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;52;56;63;27
2026-07-12T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;52;69;76;24
2026-07-12T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;12;23;28;55
2026-07-12T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;45;56;67;21
2026-07-12T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;39;56;60;29
2026-07-12T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;17;38;55;71;16
2026-07-11T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;55;73;86;25
2026-07-11T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;41;50;68;23
2026-07-11T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;39;52;56;27
2026-07-11T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;50;58;67;24
2026-07-11T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;6;24;39;55
2026-07-11T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;63;69;79;21
2026-07-11T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;43;53;65;29
2026-07-11T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;46;52;56;90
2026-07-10T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;65;72;89;25
2026-07-10T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;20;37;48;52;5
2026-07-10T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;37;46;58;72;10
2026-07-10T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;62;73;84;24
2026-07-10T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;15;23;35;54
2026-07-10T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;60;64;69;21
2026-07-10T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;60;64;69;21
2026-07-10T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;38;53;71;29
2026-07-10T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;55;60;76;94
2026-07-09T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;53;66;76;25
2026-07-09T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;58;63;77;23
2026-07-09T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;51;59;73;27
2026-07-09T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;50;62;78;24
2026-07-09T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;17;21;28;54
2026-07-09T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;54;66;83;21
2026-07-09T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;42;52;66;29
2026-07-09T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;56;61;70;89
2026-07-08T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;24;66;71;75;6
2026-07-08T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;46;59;69;23
2026-07-08T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;41;57;69;27
2026-07-08T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;51;63;77;24
2026-07-08T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;11;24;40;54
2026-07-08T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;42;59;71;21
2026-07-08T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;45;53;65;29
2026-07-08T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;46;55;63;92
2026-07-07T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;58;69;76;25
2026-07-07T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;36;50;58;23
2026-07-07T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;43;51;58;27
2026-07-07T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;53;59;74;24
2026-07-07T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;12;24;33;54
2026-07-07T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;46;62;79;21
2026-07-07T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;36;46;61;29
2026-07-07T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;59;69;86;91
2026-07-06T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;64;69;78;25
2026-07-06T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;22;44;56;61;5
2026-07-06T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;38;52;62;27
2026-07-06T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;40;58;75;24
2026-07-06T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;5;22;34;53
2026-07-06T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;49;60;67;21
2026-07-06T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;49;57;69;29
2026-07-06T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;57;69;85;92
2026-07-05T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;31;60;72;84;8
2026-07-05T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;45;55;59;23
2026-07-05T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;44;52;63;27
2026-07-05T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;51;60;74;24
2026-07-05T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;25;29;43;53
2026-07-05T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;53;59;67;21
2026-07-05T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;29;44;62;29
2026-07-05T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;54;66;75;94
2026-07-04T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;55;72;81;25
2026-07-04T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;31;41;58;74;7
2026-07-04T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;15;50;56;72;4
2026-07-04T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;46;63;73;24
2026-07-04T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;11;27;37;53
2026-07-04T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;46;53;60;21
2026-07-04T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;41;50;63;29
2026-07-04T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;55;68;78;91
2026-07-03T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;42;59;68;83;11
2026-07-03T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;40;56;63;23
2026-07-03T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;46;64;68;27
2026-07-03T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;45;54;58;24
2026-07-03T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;16;25;30;53
2026-07-03T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;57;62;69;21
2026-07-03T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;34;48;66;29
2026-07-03T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;49;57;67;90
2026-07-02T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;56;67;74;25
2026-07-02T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;41;57;62;23
2026-07-02T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;50;59;75;27
2026-07-02T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;46;56;70;24
2026-07-02T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;22;34;38;52
2026-07-02T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;63;67;77;21
2026-07-02T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;34;48;55;29
2026-07-02T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;44;58;70;91
2026-07-01T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;58;68;79;25
2026-07-01T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;46;63;72;23
2026-07-01T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;47;55;70;27
2026-07-01T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;56;65;77;24
2026-07-01T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;10;27;43;52
2026-07-01T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;58;72;77;21
2026-07-01T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;28;43;58;29
2026-07-01T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;46;63;81;91
2026-06-30T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;67;78;83;25
2026-06-30T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;43;60;71;23
2026-06-30T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;47;57;67;27
2026-06-30T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;42;47;63;24
2026-06-30T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;10;25;36;52
2026-06-30T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;45;62;77;21
2026-06-30T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;41;59;75;29
2026-06-30T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;52;66;82;92
2026-06-29T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;59;69;77;25
2026-06-29T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;16;49;57;75;4
2026-06-29T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;47;59;66;27
2026-06-29T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;44;57;73;24
2026-06-29T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;18;27;37;52
2026-06-29T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;55;65;76;21
2026-06-29T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;48;52;64;29
2026-06-29T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;48;55;63;93
2026-06-28T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;60;68;79;25
2026-06-28T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;55;64;76;23
2026-06-28T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;47;62;76;27
2026-06-28T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;55;60;75;24
2026-06-28T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;21;30;39;51
2026-06-28T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;69;74;79;21
2026-06-28T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;36;49;56;29
2026-06-28T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;56;69;81;95
2026-06-27T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;52;60;74;25
2026-06-27T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;52;64;82;23
2026-06-27T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;55;60;66;27
2026-06-27T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;49;63;70;24
2026-06-27T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;21;30;40;51
2026-06-27T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;59;69;76;21
2026-06-27T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;39;49;67;29
2026-06-27T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;55;62;79;91
2026-06-26T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;45;59;63;25
2026-06-26T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;47;62;72;23
2026-06-26T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;37;43;60;27
2026-06-26T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;48;63;70;24
2026-06-26T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;18;32;49;51
2026-06-26T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;55;68;79;21
2026-06-26T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;50;59;69;29
2026-06-26T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;48;61;65;89
2026-06-25T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;50;60;73;25
2026-06-25T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;56;64;73;23
2026-06-25T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;45;54;58;27
2026-06-25T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;44;54;64;24
2026-06-25T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;17;30;40;51
