ID;Tipo;Mensagem;Status;Reservatório;Condomínio;Criado em;Atualizado em;Tempo (h)
22;nivel_baixo;Nível do reservatório Cisterna em 29% (abaixo de 30%);resolvido;Cisterna;Edifício Monte Belo;2026-06-22T02:37:15.407Z;2026-06-22T12:51:51.101Z;10.2
21;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 171 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-06-19T16:32:49.707Z;2026-06-20T03:37:58.167Z;11.1
20;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 120 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-06-18T13:26:09.061Z;2026-06-18T21:52:35.220Z;8.4
19;dispositivo_offline;Dispositivo RES_ACAC_SUP sem comunicação há mais de 63 minutos;resolvido;Caixa Superior;Residencial Jardim das Acácias;2026-06-13T21:44:07.833Z;2026-06-13T22:27:11.260Z;0.7
18;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 50 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-06-11T20:44:17.487Z;2026-06-11T22:29:38.859Z;1.8
17;dispositivo_offline;Dispositivo RES_MONTE_SUP sem comunicação há mais de 189 minutos;resolvido;Caixa Superior;Edifício Monte Belo;2026-06-10T15:09:52.644Z;2026-06-10T18:26:58.098Z;3.3
16;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 176 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-06-08T18:10:33.460Z;2026-06-09T02:58:09.762Z;8.8
15;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 199 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-05-31T21:36:14.342Z;2026-05-31T22:41:40.266Z;1.1
14;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 215 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-05-31T18:16:41.369Z;2026-06-01T05:57:24.368Z;11.7
13;dispositivo_offline;Dispositivo RES_VVERDE_SUP sem comunicação há mais de 176 minutos;resolvido;Caixa Superior;Residencial Vista Verde;2026-05-30T02:55:44.573Z;2026-05-30T03:44:07.570Z;0.8
12;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 93 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-05-27T06:26:37.954Z;2026-05-27T16:06:22.829Z;9.7
11;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 109 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-05-25T18:52:01.263Z;2026-05-25T23:10:34.352Z;4.3
10;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 166 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-05-24T02:53:19.020Z;2026-05-24T07:15:24.421Z;4.4
9;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 196 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-05-23T19:34:31.124Z;2026-05-24T02:32:56.359Z;7.0
8;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 115 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-05-21T22:20:10.888Z;2026-05-22T10:13:41.695Z;11.9
7;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 146 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-05-15T17:09:38.986Z;2026-05-15T19:16:04.620Z;2.1
6;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 220 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-05-13T07:45:21.203Z;2026-05-13T13:42:14.590Z;5.9
5;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 51 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-05-09T20:23:48.589Z;2026-05-09T23:11:08.665Z;2.8
4;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 25 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-05-09T19:25:32.664Z;2026-05-09T20:26:47.551Z;1.0
3;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 218 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-05-07T06:25:23.178Z;2026-05-07T18:16:16.799Z;11.8
2;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 45 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-04-29T22:43:39.291Z;2026-04-30T00:42:25.363Z;2.0
1;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 210 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-04-26T15:32:28.332Z;2026-04-26T22:21:52.689Z;6.8
